Date,Description,Job,Path
30-Jun,Control,1656605942,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\30Jun
7-Jul,Control,1657211688,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\06Jul07Jul
12-Jul,ECS Blower,1657645242,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\12Jul
13-Jul,ECS Blower,1657725109,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\13Jul
26-Jul,Sheetmetal Shroud,1658857168,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\26Jul
29-Jul,Sheetmetal Shroud,1659450636,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\29Jul
4-Aug,Shroud and Cooling Plate (Partial Job),1659623899,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\04Aug
9-Aug,Transfuse Plate,1660051018,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\09Aug
11-Aug,Transfuse Plate,1660244076,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\11Aug
12-Aug,Transfuse Plate,1660319120,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\12Aug
30-Aug,New ECS and Transfuse Plate,1661886898,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\30Aug
2-Sep,New ECS and Transfuse Plate,1662130672,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\02Sep
2-Sep,New ECS and Transfuse Plate Second Job of Day,1662143390,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\02SepSecondJob
13-Sep,"BTM Inlet Hood, New ECS, and Transfuse Plate",1663082685,C:\Users\TonyWitt\OneDrive - Evolve\Documents\Flir Logs\13Sep
